Timestamp,Endpoint,Method,Source,Response Time (ms),Status
2025-05-05T17:57:30.141Z,/api/drivers/:ssn,GET,database,9,success
2025-05-05T17:57:30.143Z,/api/drivers/:ssn,GET,database,9,success
2025-05-05T17:57:30.144Z,/api/drivers/:ssn,GET,database,15,success
2025-05-05T17:57:30.146Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.147Z,/api/drivers/:ssn,GET,database,2,success
2025-05-05T17:57:30.151Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.152Z,/api/drivers/:ssn,GET,database,4,success
2025-05-05T17:57:30.152Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.153Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.157Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.158Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.158Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.159Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.159Z,/api/drivers/:ssn,GET,database,2,success
2025-05-05T17:57:30.161Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.161Z,/api/drivers/:ssn,GET,database,2,success
2025-05-05T17:57:30.163Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.163Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.164Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.165Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.165Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.167Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.167Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.167Z,/api/drivers/:ssn,GET,database,2,success
2025-05-05T17:57:30.168Z,/api/drivers/:ssn,GET,database,0,success
2025-05-05T17:57:30.168Z,/api/drivers/:ssn,GET,database,2,success
2025-05-05T17:57:30.170Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.170Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.170Z,/api/drivers/:ssn,GET,database,2,success
2025-05-05T17:57:30.171Z,/api/drivers/:ssn,GET,database,0,success
2025-05-05T17:57:30.172Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.173Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.174Z,/api/drivers/:ssn,GET,database,2,success
2025-05-05T17:57:30.175Z,/api/drivers/:ssn,GET,database,4,success
2025-05-05T17:57:30.177Z,/api/drivers/:ssn,GET,database,2,success
2025-05-05T17:57:30.177Z,/api/drivers/:ssn,GET,database,4,success
2025-05-05T17:57:30.180Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.181Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.181Z,/api/drivers/:ssn,GET,database,5,success
2025-05-05T17:57:30.184Z,/api/drivers/:ssn,GET,database,5,success
2025-05-05T17:57:30.184Z,/api/drivers/:ssn,GET,database,4,success
2025-05-05T17:57:30.184Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.185Z,/api/drivers/:ssn,GET,database,1,success
2025-05-05T17:57:30.185Z,/api/drivers/:ssn,GET,database,4,success
2025-05-05T17:57:30.185Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.185Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.186Z,/api/drivers/:ssn,GET,database,0,success
2025-05-05T17:57:30.189Z,/api/drivers/:ssn,GET,database,2,success
2025-05-05T17:57:30.189Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.190Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.190Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.191Z,/api/drivers/:ssn,GET,database,4,success
2025-05-05T17:57:30.191Z,/api/drivers/:ssn,GET,database,3,success
2025-05-05T17:57:30.192Z,/api/drivers/:ssn,GET,database,4,success
2025-05-05T17:57:30.192Z,/api/drivers/:ssn,GET,database,2,success
